kind,old_code,new_code,status,source_name,target_name,source_unit,target_unit,match_score,reason
Material,2130001,1011509,规范化名称匹配,镀锌低碳钢丝 Φ0.4～0.6,镀锌低碳钢丝 φ=0.4～0.6,kg,kg,98,
Material,2130012,1011535,规范化名称匹配,镀锌低碳钢丝 Φ0.7～6,镀锌低碳钢丝 φ=0.7～6,kg,kg,98,
Material,1910107,1010053,规范化名称匹配,带肋钢筋(HRB400) Φ＜18，≥28,带肋钢筋 HRB400 φ＜18，≥28,kg,kg,98,
Machine,9101100,9101051,相似名称匹配,内燃空气压缩机 ≤3m3/min,内燃活塞式空气压缩机 ≤3m³/min,台班,台班,100,自动采用唯一高相似候选
Material,2368612,7011977,规范化名称匹配,铝绑线 Φ2,铝绑线 φ2,m,m,98,
Material,4824024,7053257,规范化名称匹配,横担(Ⅰ)∠50×5×2300,横担(Ⅰ) ∠50×5×2300,根,根,98,
Material,4826010,7054731,规范化名称匹配,Ｕ形抱箍 Φ16×710,Ｕ形抱箍 φ16×710,套,套,98,
Material,4830011,7055897,规范化名称匹配,拉线棒 Φ19×2700,拉线棒 φ19×2700,根,根,98,
Material,4826014,7054797,规范化名称匹配,Ｕ形抱箍 Φ20×710,Ｕ形抱箍 φ20×710,套,套,98,
Material,4830010,7055875,规范化名称匹配,拉线棒 Φ16×2700,拉线棒 φ16×2700,根,根,98,
Material,4824079,7054071,相似名称匹配,横担 ∠75×8×1500(高压),横担 ∠75×8×1500,根,根,100,自动采用唯一高相似候选
Material,4824035,7053455,规范化名称匹配,横担 ∠63×6×1500(高压),横担 ∠63×6×1500 （高压）,根,根,98,
Material,4511016,6061079,规范化名称匹配,氧化锌避雷器 HY5WS1-17/50,氧化锌式避雷器 HY5WS1-17/50,个,个,98,
Material,4830012,7055919,规范化名称匹配,拉线棒 Φ20×3300,拉线棒 φ20×3300,根,根,98,
Material,4835349,7058053,规范化名称匹配单位不同,隔离开关传动杆 Φ25×9m,隔离开关传动杆 φ25×9m,套,个,98,
Material,4826013,7054775,规范化名称匹配,Ｕ形抱箍 Φ18×710,Ｕ形抱箍 φ18×710,套,套,98,
Material,4835445,7058581,规范化名称匹配,吊杆 扁钢4×50×1180～1210,吊杆 扁钢4×50×(1180～1210),根,根,98,
Material,6177046,8066017,规范化名称匹配,拉杆 Φ25×3000,拉杆 φ25×3000,根,根,98,
Material,2410011,7011996,规范化名称匹配,铝绑线 Φ3.2,铝绑线 φ3.2,m,m,98,
Material,4242011,7029121,规范化名称匹配,10kV绝缘套管JY-Z 35～120 mm2,10kV绝缘套管JY-Z 35～120mm2,根,根,98,
Material,4732012,7016309,相似名称匹配,铝芯绝缘架空电缆 10kV JKLYJ 70mm2,铝芯架空绝缘电缆 10kV JKLYJ 70mm2,m,m,93,自动采用唯一高相似候选
Material,4828019,7055259,相似名称匹配,抱箍 扁钢3×30,抱箍(二) 扁钢3×30,套,套,97,自动采用唯一高相似候选
Material,1270011,1172823,相似名称匹配,道路石油沥青 100甲、100乙、180号,道路石油沥青 100号甲、100号乙、180号,kg,kg,98,自动采用唯一高相似候选
Material,1300001,1100001,相似名称匹配,标准砖 240×115×53,砖 240×115×53,千块,千块,100,自动采用唯一高相似候选
Material,1900014,1010001,规范化名称匹配,光圆钢筋（HPB300） Φ＜10,光圆钢筋 HPB300 φ＜10,kg,kg,98,
Material,1900015,1010027,规范化名称匹配,光圆钢筋（HPB300） Φ≥10,光圆钢筋 HPB300 φ≥10,kg,kg,98,
Material,7517511,5041446,规范化名称匹配,电缆托架  乙型,电缆托架 乙型,套,套,98,
Material,2240018,1220641,规范化名称匹配,镀锌焊接钢管  DN150×4.5,镀锌焊接钢管 DN150×4.5,m,m,98,
Material,2240016,1220625,规范化名称匹配,镀锌焊接钢管  DN100×4,镀锌焊接钢管 DN100×4,m,m,98,
Material,3373203,1226377,规范化名称匹配,聚乙烯给水管件 0.6MPa   de160,聚乙烯给水管件 0.6MPa De160,个,个,98,
Material,4020023,1270729,相似名称匹配,导向水平钻孔拉管机钻头 Φ200～Φ1100,导向水平钻孔拉管机钻头 φ=200～1100,组,组,100,自动采用唯一高相似候选
Material,8714016,1135941,规范化名称匹配,混凝土电缆槽道盖板（1000×700×120）,混凝土电缆槽道盖板 1000×700×120,块,块,98,
Material,4741154,1306490,相似名称匹配,镀锌钢制托盘式桥架 200×150,镀彩钢制托盘式桥架 200×150,m,m,96,自动采用唯一高相似候选
Material,4741155,1306593,相似名称匹配,镀锌钢制托盘式桥架 400×200,镀彩钢制托盘式桥架 400×200,m,m,96,自动采用唯一高相似候选
Material,4741156,1306696,相似名称匹配,镀锌钢制托盘式桥架 600×200,镀彩钢制托盘式桥架 600×200,m,m,96,自动采用唯一高相似候选
Material,4741157,1306799,相似名称匹配,镀锌钢制托盘式桥架 800×200,镀彩钢制托盘式桥架 800×200,m,m,96,自动采用唯一高相似候选
Material,4745011,1301340,规范化名称匹配,光、电缆保护槽道(含支架、弯头）240×180×2.0,光、电缆保护槽道(含支架、弯头） 240×180×2.0,m,m,98,
Material,4745012,1301443,规范化名称匹配,光、电缆保护槽道(含支架、弯头）320×180×3.0,光、电缆保护槽道(含支架、弯头） 320×180×3.0,m,m,98,
Material,3360019,1223993,规范化名称匹配,聚氯乙烯软管 d16×2,聚氯乙烯软管 D16×2,m,m,98,
Material,2400213,1016813,规范化名称匹配,紫铜线 Φ2,紫铜线 φ2,kg,kg,98,
Material,3394120,1034642,相似名称匹配,塑料胶粘带 20×20m,塑料胶粘带 20m×20,卷,卷,94,自动采用唯一高相似候选
Material,3617926,1062701,规范化名称匹配,普通螺钉（栓）,普通螺钉(栓),kg,kg,98,
Material,4836110,7058669,相似名称匹配,电抗器台架槽钢 #12×4000,电抗器台架槽钢 12×4000,根,根,100,自动采用唯一高相似候选
Material,4836111,7058691,相似名称匹配,电抗器固定槽钢 #8×640,电抗器固定槽钢 8×640,根,根,99,自动采用唯一高相似候选
Material,4836112,7058713,相似名称匹配,电抗器顶桩槽钢 #10×450,电抗器顶桩槽钢 10×450,根,根,99,自动采用唯一高相似候选
Material,1110600,1141511,规范化名称匹配,硬木 Φ50×4000,硬木 φ50×4000,根,根,98,
Material,1902001,1010625,规范化名称匹配,镀锌圆钢 Φ＜10,镀锌圆钢 φ＜10,kg,kg,98,
Material,1902002,1010651,规范化名称匹配,镀锌圆钢 Φ≥10,镀锌圆钢 φ≥10,kg,kg,98,
Material,3320010,1020001,相似名称匹配,橡胶圈 D10,橡胶圈 De10,个,个,95,自动采用唯一高相似候选
Material,4020113,1273017,规范化名称匹配,尼龙砂轮片 Φ150×40×6,尼龙砂轮片 φ150×40×6,片,片,98,
Material,3360010,1223921,规范化名称匹配,聚氯乙烯软管 d5×1,聚氯乙烯软管 D5×1,m,m,98,
Material,3392042,1225049,规范化名称匹配,塑料异型管 Φ5,塑料异型管 φ5,m,m,98,
Material,3711014,1250741,相似名称匹配,铝电焊条 铝,铝电焊条,kg,kg,100,自动采用唯一高相似候选
Material,4835210,7057305,规范化名称匹配,镀锌拉板 扁钢4×40×200～350,镀锌拉板 扁钢4×40×(200～350),块,块,98,
Material,4837510,7051431,规范化名称匹配,台板(一) 钢板3×465×485,台板(一) 钢板 3×465×485,块,块,98,
Material,3617927,1062751,规范化名称匹配,镀锌普通螺钉（栓）,镀锌普通螺钉(栓),kg,kg,98,
Material,4832150,7056447,规范化名称匹配,太阳能电池板桁架立柱 Φ200×6000,太阳能电池板桁架立柱 φ200×6000,根,根,98,
Material,4832151,7056469,规范化名称匹配,太阳能电池板桁架立柱 Φ200×3000,太阳能电池板桁架立柱 φ200×3000,根,根,98,
Material,4832152,7056491,规范化名称匹配,太阳能电池板桁架立柱 Φ200×4000,太阳能电池板桁架立柱 φ200×4000,根,根,98,
Material,4832153,7056513,规范化名称匹配,太阳能电池板桁架立柱 Φ200×1000,太阳能电池板桁架立柱 φ200×1000,根,根,98,
Material,4142017,7038093,规范化名称匹配,三通接线盒 Φ20,三通接线盒 φ20,个,个,98,
Material,4142018,7038161,规范化名称匹配,三通接线盒 Φ25,三通接线盒 φ25,个,个,98,
Material,4142019,7038229,规范化名称匹配,四通接线盒 Φ20,四通接线盒 φ20,个,个,98,
Material,4142020,7038297,规范化名称匹配,四通接线盒 Φ25,四通接线盒 φ25,个,个,98,
Material,4141011,7050089,规范化名称匹配,钢管护口 D25～32,钢管护口 D=25～32,个,个,98,
Material,4141012,7050111,规范化名称匹配,钢管护口 D40～50,钢管护口 D=40～50,个,个,98,
Material,2260005,1221433,规范化名称匹配,电线管 DN32～50,电线管 DN=32～50,kg,kg,98,
Material,3392044,1225057,规范化名称匹配,塑料胀管 Φ6～8,塑料胀管 φ=6～8,个,个,98,
Material,4715016,7010932,相似名称匹配,铜芯塑料线 BV 500V 6mm2,铜芯塑料软线 BVR 500V 6mm2,m,m,96,自动采用唯一高相似候选
Material,4732523,7011388,规范化名称匹配,交联聚乙烯绝缘导线 WDZN-BYJ 450/750V  6mm2,交联聚乙烯绝缘导线 WDZN-BYJ 450/750V 6mm2,m,m,98,
Material,4120011,7050947,规范化名称匹配,圆木垫板 Φ150×12,圆木垫板 φ150×12,块,块,98,
Material,4221010,7022221,规范化名称匹配,节能灯泡  5W,节能灯泡 5W,个,个,98,
Material,4824210,7054445,相似名称匹配,横担 槽钢#18×2100,横担 槽钢18×2100,根,根,99,自动采用唯一高相似候选
Material,5800201,8020345,规范化名称匹配,铜(银合金)接触线,铜银合金接触线,kg,kg,98,
Material,3603026,1060051,相似名称匹配,化学锚栓 M10×85,化学锚栓带帽 M10×85,套,套,94,自动采用唯一高相似候选
